preocupado estudiante ahí saber poder comer dormir si poder salir ver familia etcétera | negativo
sentir bien fin compañero decidir alzar voz mostrar todo deficiencia facultad | negativo
ansioso inicio gana apoyar compañero después sentir excluido compañero cerrar circulo | negativo
pensar necesario hacer paro | negativo
paro sentir estresado debido acumular tarea proyecto además clase línea mejor opción estancia hogar ansiedad crecer | negativo
frustrado paro progreso académico ver afectado | negativo
bien hora expresar inconformidad estudiante | negativo
feliz | negativo
frustrado afectar avance académico | negativo
falta información acción llevar cabo alejar movimiento poder participar hacer interés disminuir | negativo
parecer completo pérdida tiempo recurso material cual poder haber ser implementar mejor manera | negativo
preocupado avance materia curso volver método clase virtual perder tiempo atención mismo | negativo
ansioso salior ver compañero | neutro
preocupado situación suceder universidad así mismo clase saber si ir regresar clase ir calificar | neutro
representar demanda comprender | neutro
 | neutro
momento recaída emocional académico dejar responsabilidad escolar lado trabajar agotador productivo | neutro
sentimiento confuso apoyar movimiento realmente sentir facultad tomo postura si mismo situación facultad varios admitir situación ameritar paro además ver varios aun buen profesor rendimiento seguir ser igual malo entonces poder ver doble moral ver justificado inconformidad | neutro
movimiento buen parte sentir si necesario autoridad escolar tomar carta asunto todo deficiencia universidad | neutro
entender pregunta ir decir aburrido pq chingada clase mes sentir esperanzado chavo paro poder cambiar modo operación universidad aunque pendeja rectora servir | neutro
indiferente guardar rencor universidad momento querer escuchar situación evitar aplicar baja | neutro
sentir preocupado cómo terminar semestre continuidad escolar vez sentir paro situación estallar día pasar quejar compañero deficiencia así vez paro punto inflexión tratar poder solucionar problema universidad pretención buen malo soler ser paro tipo méxico desafortunadamente | neutro
mal propaganda alumno clase línea | neutro
esperar resultado | neutro
pues sentir presionado tema claro materia además miedo participar tener alguno tipo represalia | positivo
sentir preocupado vez estresado saber ir pasar facultad saber si ir hacer caso necesidad saber si perder semestre vez tiempo línea hacer sentir inquieto recordar pandemia | positivo
bastante favor inicio embargo formar dar cosa final debatir opinión tema expuesto cosa exigir inecesario | positivo
escuchar derecho gracia compañero hacer voz escuchar | positivo
primero vez paro estudiantil venir escuela concreto sentir causa justo | positivo
cansado | positivo
apoyar compañero pues propuesta realidad facultad | positivo
participar movimiento embargo gustar participar lograr mejor convivencia universitario | positivo
gusto necesario expresar abrir voz autoridad hacer algio | positivo
pues estresado ir uni falta comunicación | positivo
relajado problema realizar estudiante | positivo
verdad sentir estresado realizar trámite conclusión práctica profesional entonces manera hacer | positivo
