estresado sentir hacer poner fecha regreso todavía decidir sentir escuchar razón | negativo
molesto completamente seguro dirección hacer verdadero cambio bien alumno | negativo
pues molestar forma llevar cabo cuestión parte autoridad compañero realizar paro | negativo
pensar necesario hacer paro | negativo
aliviado vez estresado debido proyecto acumular fecha entrega aproximar debido ir concluir semestre | negativo
molesto hacer movimiento final cosa seguir normal maestro buen seguir dar clase si si suponer buscar tener mejor maestro | negativo
mal pesar hacer cosa favor sentir verdadero problema hacer caso omiso | negativo
triste | negativo
molesto ver verdad cambio facultad ámbito académico | negativo
inconforme si bien resultado petición depender mayormente respuesta dir universidad poco participación compañero facultad molestar opinión final movimiento negativo pues sentir afectar volver clase línea generalmente mejor presencial impacto negativo tiempo clase línea incertidumbre pasar paro falta resultado hacer sentir tiempo perdido | negativo
sentir gran alivio poder regresar nuevamente convivir amigo facultad profesor manera presencial | negativo
preocupado materia perder avance bien avance aunque clase manera virtual | negativo
mejor asistir calse | neutro
tranquilo haber solución universidad materia cursar solucionar | neutro
aliviado | neutro
extraño | neutro
tranquilo regresar rutina normal regresar estrés tarea volver facultad amigo compañero | neutro
satisfecho punto forma individual interesar ver ser atender todavía especulación si realidad tomar acción favorable comunidad estudiantil | neutro
satisfecho autoridad tomar postura positivo resolver demanda vez insatisfecho parecer respetar acuerdo | neutro
naca pendejar estúpido viejita borde muerte llamar lilia cedillo servir presente madre preferir atropellar camión ir reelegir próximo votación si doña saber operar universidad atender pedir alumno historia pinche inútil sólo saber hacer sonidero culero parte educación chingada | neutro
indiferente siquiera enter conseguir empleo estable bien pagado momento sentir hacia buap | neutro
sentir extraño regreso clase demasiado repentino avisar día pm sábado | neutro
bien ver solución fin regresar clase | neutro
dudoso inconcluso | neutro
pues tranquilo mucho presión maestro impornar si aprender | positivo
sentir alivio saber fin lograr acuerdo ver empezar realizar necesidad pedir alguno consecuencia parte alguno maestro directivo | positivo
mejor poder retomar clase rutina saber sucedido cambiar bien condición institución | positivo
si realizar petición mejorar instalación | positivo
sentir mucho cosa cual compañero compañera abogar ir tomar camino claro cambio inmediato tiempo ver si verdad tomar cuanto propuesta dicho | positivo
insatisfecho realmente perder demasiado tiempo gror | positivo
bien pues querer regresar clase | positivo
inconforme varios acuerdo autoridad universitario respetar | positivo
vrd gustar paro cierto forma carrera necesario acudir aula seguir aprender | positivo
satisfecho esperar respetar acuerdo | positivo
bien esperanzado suceder cosa prometer | positivo
tanto calmado congelo tramite entonces seguir espera tal documento | positivo
