1  | ansioso inicio gana apoyar compañero después sentir excluido compañero cerrar circulo | negativo
2  | tomo sorpresa estreso incertidumbre cuándo volver clase presencial | neutro
3  | primero vez paro estudiantil venir escuela concreto sentir causa justo | positivo
4  | principio realmente saber ¿ entonces sentir raro conformar pasar tiempo sentir ansioso ir largo | neutro
5  | incertidumbre proceder debido alumno foráneo saber hacer asistir ciudad | positivo
6  | situación complejo estrés convicción pie lucha compañero ideal indicado lograr cambio significativo mejorar condición educativo comunidad | positivo
7  | sentir mucho incertidumbre saber ir evolucionar cosa relación actividad posterior | positivo
8  | sentir estresado tiempo pues saber ir suceder extender dar clase línea todavía dar bajo servicio autoservicio | neutro
9  | sentir angustiado saber pasar llegar solución afectar estudio regresar pronto clase acuerdo situación empeorar | neutro
10  | frustrado tener acceso clase presencial aburrido distraido | positivo
11  | bien compañero exigir derecho | neutro
12  | posible participación movimiento favor compañero poder intervenir decisión favor embargo clase línea mejor opción | positivo
13  | frustrado dado clase línea | neutro
14  | cómodo casa | neutro
15  | molesto distinto interrupción impedimento llevar cabo buen comunicación arreglo triste noticia amarillista decepcionado discrimacion económico social estudiante | positivo
16  | verdad principio pensar bien error fcc pasar tiempo llegar pensar perder tiempo | neutro
17  | personal disgustado clase linea agrado raro haber cortar repente parte rutina conllevar necesario carencia universidad atender | neutro
18  | sentir incertidumbre tardar semestre pues clase diferente faltar interacción demás compañero | neutro
19  | sentir angustiado calidad clase estudiar línea eficiente mismo manera presencialmente preocupar ir afectar academicamente | neutro
20  | estresado sinceramente gustar clase línea poner poco atención aparte ir super rápido clase si alguno duda pues resolver | neutro
21  | pues sentir presionado clase entender buen motivo así saber sobrellevar exitosamente | positivo
22  | bien hora expresar inconformidad estudiante | negativo
23  | pues vez bien compañero luchar derecho mal poner atención clase línea agotador preferir clase presencial | positivo
24  | sentimiento confuso apoyar movimiento realmente sentir facultad tomo postura si mismo situación facultad varios admitir situación ameritar paro además ver varios aun buen profesor rendimiento seguir ser igual malo entonces poder ver doble moral ver justificado inconformidad | neutro
25  | sentir tranquilo tiempo hacer tarea trabajo sentir enfocar clase poder escuchar ver si acordar poder ver grabación clase | neutro
26  | parte gusto alumnado estar reclamar derecho merecer lado sentir moviento llego gran parte pedir diluyendoi | neutro
27  | estresante clase línea poder concentrar casa sentir nuevo pandemia metodología aprendizaje presencial | neutro
28  | momento interesante gustar ver cómo apoyar trabajar junto causa importar general experiencia enriquecedora | positivo
29  | pues raro organización si bien expresar inconformidad parte alumno directivo parecer prestar atención tomar ligera | neutro
30  | interesado saber suceder proceso clase virtual | neutro
31  | sentir preocupado cómo terminar semestre continuidad escolar vez sentir paro situación estallar día pasar quejar compañero deficiencia así vez paro punto inflexión tratar poder solucionar problema universidad pretención buen malo soler ser paro tipo méxico desafortunadamente | neutro
32  | preocupado situación suceder universidad así mismo clase saber si ir regresar clase ir calificar | neutro
33  | periodo confusión saber pasado ciudad universitario pensar consecuencia poder traer paro calificación además todo actividad faltante juntar solo mes semestre pensar estrés | neutro
34  | gusto necesario expresar abrir voz autoridad hacer algio | positivo
35  | pues facultad si razón demanda sólo querer obtener cosa | neutro
