edad,semestre,promedio,origen,genero,horas_estudio,horas_redes,horas_sueño,nivel_estres,participacion_paro,tipo_participacion,descripcion_participacion,sentimientos_paro,postura,sentimientos_finales,postura_final
20,6,9.78,puebla,femenino,de 1 a 3 horas diarias,de 1 a 3 horas diarias,de 5 a 7 horas diarias,alto,no,otro medio,trate de participar en las asambleas,"muy ansiosa, al inicio tenía ganas de apoyar a los compañeros, pero después me sentí excluida ya que los compañeros cerraron mucho su circulo.",neutra,"pues molesta, de la forma en que se llevaron a cabo algunas cuestiones, tanto por parte de las autoridades, como por los compañeros que realizaron el paro",en contra
22,0,9.0,chiapas ,femenino,de 1 a 3 horas diarias,de 3 a 5 horas diarias,de 5 a 7 horas diarias,bajo,no,otro medio,no participe ,me tomo de sorpresa y me estreso un poco la incertidumbre de cuándo volveríamos a clases presenciales ,neutra,"tal vez un poco atareada, ya que a partir de eso nos atrasamos con los profesores y ahora la carga de trabajo es mayor. ",neutra
22,0,9.2,puebla,femenino,de 1 a 3 horas diarias,más de 5 horas diarias,de 5 a 7 horas diarias,medio,no,otro medio,compartiendo la información de nuestros compañeros por redes sociales,"esta fue mi primera vez en un paro estudiantil ya que yo vengo de otra escuela, me en concreto siento que una causa justa.",a favor,"siento que muchas cosas por las cuales mis compañeros y compañeras abogaban poco a poco van tomando camino, claro que el cambio no será inmediato pero con el tiempo veremos si de verdad se tomaron en cuanto las propuestas dichas ",a favor
22,7,9.3,puebla ,femenino,menos de una hora diaria,de 1 a 3 horas diarias,de 5 a 7 horas diarias,alto,no,otro medio,cómo tal no participe pero ayude a difundir información verdadera ,"al principio realmente no sabía el ¿porque?, entonces me sentía rara y conforme paso el tiempo me sentí ansiosa por qué esto iba para largo.",neutra,la verdad creo que me sentí bien por regresar por qué al final de cuentas yo aprendo mejor en persona. pero también me molestó que nos avisarán un día antes..,neutra
22,8,8.2,huauchinango puebla,masculino,menos de una hora diaria,de 1 a 3 horas diarias,menos de 5 horas diarias,alto,no,otro medio,apoye el paro virtual,"con incertidumbre sobre como proceder debido a que soy un alumno foráneo, por lo que no sabía que hacer sobre asistir o no a la ciudad",a favor,me sentía dudoso sobre como se solucionaron los problemas que había en la universidad y en la factura ,a favor
21,6,9.1,acatlán de osorio,masculino,de 3 a 5 horas diarias 2,de 1 a 3 horas diarias,de 5 a 7 horas diarias,alto,si,todas las anteriores,,"en situaciones complejas de estrés. pero con la convicción de que estuvimos al pie de lucha por y para nuestros compañeros, y de que nuestros ideales eran los indicados para lograr cambios significativos, y mejorar las condiciones educativas para nuestra comunidad.",a favor,"abrazado por la comunidad. cansado y agotado, pero agradecido por el apoyo que la comunidad nos mostró, por las circunstancias y experiencias, y porque sabemos que el movimiento fue legítimo, y con ejercicios de democratización en nuestra facultad. con la convicción de que seguiremos luchando por los ideales.",a favor
21,6,9.58,puebla ,femenino,más de 5 horas diarias,de 3 a 5 horas diarias,de 5 a 7 horas diarias,bajo,si,otro medio,participe informandome sobre todo lo que ocurria ,yo me sentí con mucha incertidumbre ya que no sabía como iban a evolucionar  las cosas en relación con actividades posteriores. ,a favor,"me sentí feliz, porque se llegaron a acuerdos qué beneficia principalmente a los estudiantes para que tengamos mejores condiciones estudiantiles dentro de la universidad ",a favor
21,6,9.7,oaxaca,masculino,de 1 a 3 horas diarias,de 3 a 5 horas diarias,de 7 a 9 horas diarias,medio,no,otro medio,estuve en la primera plática del pliego petitorio y en solo una asamblea estudiantil.,"me sentí muy estresado en ese tiempo, pues fue algo que sabíamos que iba a suceder pero no que se fuera a extender y dar clases en línea y todavía dar de baja servicios como autoservicios.",a favor,fue conforme ya concluir el paro estudiantil que hizo la buap pues retomar las actividades y que se dieran a conocer todas las peticiones que los estudiantes necesitábamos en la facultad.,neutra
20,6,8.9,puebla,femenino,de 3 a 5 horas diarias 2,de 1 a 3 horas diarias,de 5 a 7 horas diarias,medio,no,otro medio,.,"me sentí angustiada por no saber qué pasaría. sí se llegaría a una solución, sí nos afectaría en nuestros estudios, sí regresaríamos pronto a clases, sí habrían acuerdos o la situación empeoraría.",a favor,"me sentí aliviada en el aspecto de que regresaríamos a clases, sin embargo, un poco molesta y desanimada porque no se llegaron a muchos acuerdos y en su mayoría, no se resolvieron las situaciones importantes como el acoso sexual por parte de profesores.",neutra
20,6,8.9,tlaxcala,masculino,de 3 a 5 horas diarias 2,menos de una hora diaria,de 7 a 9 horas diarias,bajo,no,otro medio,no participé,"frustrado por no tener acceso a clases presenciales, aburrido y distraido",a favor,en acuerdo a las peticiones que los compañeros universitarios solicitaban,a favor
